,Common Name,Toxic Cats,Toxic Dogs
0,Amaryllis,Yes,Yes
1,African violet,no,no
2,Angel wing begonia,Yes,Yes
3,"Barberton, Gerbera, Transvaal Daisy",no,no
4,Spider Lily,no,no
5,"Belladonna lily, March lily and naked lady.",Yes,Yes
6,"Bird of Paradise, Strelitzia, Crane Flower",Yes,Yes
7,Blushing bromeliad,no,no
8,Busy Lizzie and Impatient Lucy,no,no
9,Calla lily,Yes,Yes
10,"Coral berry, christmas berry, coral ardisia",Unknown,Unknown
11,Corsage Orchid,no,no
12,"Cylamen, florist cyclamen",Yes,Yes
13,Eternal Flame,no,no
14,"False shamrock, purple sharock, wood sorrel",Yes,Yes
15,"Flamingo flower, pigtail plant",Yes,Yes
16,Flaming Sword,no,no
17,"F. maple,",Unknown,Unknown
18,Kaffir and bush lily,Yes,Yes
19,Lollipop and golden shrimp plant,Unknown,Unknown
20,Madagascar Jasmine - Wax Flower,no,no
21,Medusa Plant,Unknown,Unknown
22,Christmas and ornamental pepper plant,Yes,Yes
23,"Poinsettia,",Yes,Yes
24,"Queens tears, friendship plant",no,no
25,"Rose of China, Chinese hibiscus, Shoe flower",Yes,Yes
26,Scarlet star,no,no
27,"The one colored paphiopedilum, lady's slipper",Unknown,Unknown
28,Urn and pink or silver vase plant,no,no
29,Winter cherry,Yes,Yes
30,Aluminum Plant,Yes,Yes
31,"Areca, butterfly, or cane palm",no,no
32,"Arrowhead Plant or Arrowhead Vine, Goosefoot Plant",Yes,Yes
33,Bird's Nest Fern,no,no
34,Boston Fern,no,no
35,Broadleaf lady or little lady palm,no,no
36,Canary Island Date Palm,no,no
37,Cast iron plant,no,no
38,Chinese evergreen,Yes,Yes
39,"Coral bead, pin cushion plant",Yes,Yes
40,Corn or cornstalk plant,Yes,Yes
41,Creeping or climbing fig,Yes,Yes
42,Cretan Brake Fern,Unknown,Unknown
43,"Croton, Joseph's coat",Yes,Yes
44,Dumb cane,Yes,Yes
45,Elephant's ear - Alocasia polly - African mask,Yes,Yes
46,"European fan, Mediterranean dwarf palm, and Dwarf fan palm",Unknown,Unknown
47,Fiddle leaf fig tree,Yes,Yes
48,Golden pothos or Devils ivy,Yes,Yes
49,"Green Velvet Alocasia, Alocasia Frydek",Yes,Yes
50,"Hawaiian ti, good luck, baby doll ti and others",Yes,Yes
51,"Heart of Jesus, angel wings, elephant ear, fancy leafed caladium",Yes,Yes
52,"Kentia, paradise, thatch",no,no
53,Lucky Bamboo,Unknown,Unknown
54,Dragon Tree,Yes,Yes
55,Delta Maidenhair Nest Fern,Unknown,Unknown
56,"Mexican fortune tree, money tree plant and others",no,no
57,"Parlor, Parlour palm",no,no
58,"Pygmy date, Miniature date palm",no,no
59,Rabbit's Foot Fern,no,no
60,Rattlesnake Plant,no,no
61,Rose Painted Calathea,no,no
62,"Rubber plant or tree, rubber bush",Yes,Yes
63,Sago Palm,Yes,Yes
64,"Sentry, belmore sentry, and curly palm",no,no
65,"Song of India, Pleomele",Yes,Yes
66,Spider or airplane,no,no
67,Swiss cheese or just cheese plant,no,no
68,"Umbrella Plant, Queensland Umbrella Tree, Octupus Tree, Gold Capella",Yes,Yes
69,Venus fly trap,no,no
70,"Wandering Jew, Flowering Inch Plant",no,no
71,Weeping Fig,Yes,Yes
72,Zebra plant,no,no
73,Zebra plant,no,no
74,ZZ plant,Yes,Yes
75,"Aloe V, Medicine Plant, True Aloe, Burn Plant,",Yes,Yes
76,Not known,Unknown,Unknown
77,"Baby rubber plant, American rubber plant, Pepper face plant",no,no
78,Bunny ear and polka-dot cactus,Yes,Yes
79,"Century plant, Agave cactus, Maguey, American aloe",Yes,Yes
80,Christmas and holiday cactus,no,no
81,"Christmas cheer, Pork and beans",Yes,Yes
82,Coral cactus,Yes,Yes
83,Donkey's and Burros Tail,no,no
84,Easter or holiday cactus,no,no
85,"Housetree Leek, Black Rose Tree",Unknown,Unknown
86,Flaming katy,Yes,Yes
87,Goat's horn cactus,Unknown,Unknown
88,"Golden barrel cactus , golden ball cactus, mother-in-law's cushion",Unknown,Unknown
89,"Jade, money , lucky, friendship",Yes,Yes
90,"Jelly beans, Many fingers",Yes,Yes
91,Mother in law's tongue and snake plant,Yes,Yes
92,Orchid Cactus,Unknown,Unknown
93,Panda plant or pussy ears,Yes,Yes
94,Parallel peperomia,no,no
95,Peruvian apple,Unknown,Unknown
96,"Pincusion Peperomia, Bean Plant",no,no
97,Rat's Tail,Unknown,Unknown
98,Tiger Jaws,Unknown,Unknown
99,"Trailing jade, round leaf Peperomia",no,no
100,Truncate living stone,Unknown,Unknown
101,Zebra Haworthia or Zebra Cactus,no,no
